Starting time,Staring price,Transaction time,End transaction price,Each transaction profit
2019-12-18 00:00:00+05:00,319.94,2020-01-16 00:00:00+05:00,331.13,1119.0
2020-01-17 00:00:00+05:00,331.6,2020-01-24 00:00:00+05:00,328.26,-334.0
2020-01-27 00:00:00+05:00,323.92,2020-02-10 00:00:00+05:00,335.13,1121.0
2020-02-11 00:00:00+05:00,335.35,2020-02-24 00:00:00+05:00,324.63,-1072.0
2020-02-25 00:00:00+05:00,313.43,2020-02-26 00:00:00+05:00,309.32,-411.0
2020-02-27 00:00:00+05:00,296.9,2020-03-02 00:00:00+05:00,309.4,1250.0
2020-03-03 00:00:00+05:00,302.17,2020-03-06 00:00:00+05:00,295.5,-667.0
2020-03-09 00:00:00+05:00,280.25,2020-03-11 00:00:00+05:00,273.9,-635.0000000000036
2020-03-12 00:00:00+05:00,244.85,2020-03-13 00:00:00+05:00,267.45,2260.0
2020-03-16 00:00:00+05:00,244.9,2020-03-19 00:00:00+05:00,237.18,-772.0
2020-03-20 00:00:00+05:00,226.4,2020-03-24 00:00:00+05:00,242.47,1607.0
2020-03-25 00:00:00+05:00,246.96,2020-03-26 00:00:00+05:00,263.35,1639.0000000000036
2020-03-27 00:00:00+05:00,252.1,2020-03-30 00:00:00+05:00,261.93,983.0
2020-03-31 00:00:00+05:00,254.31,2020-04-01 00:00:00+05:00,247.5,-681.0
2020-04-02 00:00:00+05:00,250.79,2020-04-03 00:00:00+05:00,247.92,-287.0
2020-04-06 00:00:00+05:00,266.55,2020-04-09 00:00:00+05:00,279.0,1245.0
2020-04-13 00:00:00+05:00,277.08,2020-04-16 00:00:00+05:00,287.5,1042.0
2020-04-17 00:00:00+05:00,286.66,2020-04-20 00:00:00+05:00,282.03,-463.0000000000073
2020-04-21 00:00:00+05:00,274.39,2020-04-27 00:00:00+05:00,286.97,1258.0000000000036
2020-04-28 00:00:00+05:00,287.39,2020-05-01 00:00:00+05:00,282.9,-449.00000000000364
2020-05-04 00:00:00+05:00,283.51,2020-05-08 00:00:00+05:00,293.48,997.0
