,RR,TPP,SLP,comparedProfit
203,3,0.026000000000000002,0.012,10781.999999999989
202,2,0.024,0.012,10781.999999999989
209,4,0.038,0.012,9227.999999999993
204,3,0.028000000000000004,0.012,9095.999999999985
205,3,0.03,0.012,8878.999999999985
12,4,0.034,0.01,8749.999999999993
211,4,0.042,0.012,8720.999999999993
207,3,0.034,0.012,8640.999999999996
212,4,0.044000000000000004,0.012,8545.999999999996
210,4,0.04,0.012,8465.999999999993
11,4,0.032,0.01,8429.999999999989
794,3,0.038,0.018000000000000002,8312.999999999989
597,3,0.034,0.016,7866.999999999982
599,3,0.038,0.016,7832.999999999985
404,3,0.038,0.014,7832.999999999985
793,2,0.036000000000000004,0.018000000000000002,7824.999999999985
206,3,0.032,0.012,7817.000000000004
399,3,0.028000000000000004,0.014,7658.9999999999745
6,3,0.022,0.01,7551.999999999996
400,3,0.03,0.014,7441.9999999999745
8,3,0.026000000000000002,0.01,7234.999999999993
7,3,0.024,0.01,7234.999999999993
14,4,0.038,0.01,7231.999999999996
402,3,0.034,0.014,7203.999999999985
5,2,0.02,0.01,7154.999999999996
598,3,0.036000000000000004,0.016,6968.999999999985
219,5,0.058,0.012,6888.999999999993
218,5,0.056,0.012,6888.999999999993
220,5,0.060000000000000005,0.012,6888.999999999993
16,5,0.042,0.01,6724.999999999996
596,2,0.032,0.016,6591.999999999989
10,3,0.03,0.01,6572.999999999993
17,5,0.044000000000000004,0.01,6550.0
9,3,0.028000000000000004,0.01,6534.999999999993
208,4,0.036000000000000004,0.012,6479.999999999989
15,4,0.04,0.01,6469.999999999996
401,3,0.032,0.014,6379.999999999993
403,3,0.036000000000000004,0.014,6319.999999999989
998,3,0.056,0.02,6260.999999999985
1193,3,0.056,0.022,6260.999999999985
1388,3,0.056,0.024,6260.999999999985
1583,3,0.056,0.026000000000000002,6260.999999999985
213,4,0.046000000000000006,0.012,5966.999999999996
803,4,0.056,0.018000000000000002,5931.999999999985
804,4,0.058,0.018000000000000002,5931.999999999985
805,4,0.060000000000000005,0.018000000000000002,5931.999999999985
1582,3,0.054,0.026000000000000002,5895.999999999985
997,3,0.054,0.02,5895.999999999985
1387,3,0.054,0.024,5895.999999999985
1191,3,0.052000000000000005,0.022,5895.999999999985
1192,3,0.054,0.022,5895.999999999985
1581,2,0.052000000000000005,0.026000000000000002,5895.999999999985
996,3,0.052000000000000005,0.02,5895.999999999985
1386,3,0.052000000000000005,0.024,5895.999999999985
214,4,0.048,0.012,5880.999999999996
801,3,0.052000000000000005,0.018000000000000002,5566.999999999985
802,3,0.054,0.018000000000000002,5566.999999999985
991,3,0.042,0.02,5555.999999999989
13,4,0.036000000000000004,0.01,5548.999999999985
30,7,0.06999999999999999,0.01,5516.9999999999745
609,4,0.058,0.016,5451.999999999982
608,4,0.056,0.016,5451.999999999982
413,4,0.056,0.014,5451.999999999982
415,5,0.060000000000000005,0.014,5451.999999999982
610,4,0.060000000000000005,0.016,5451.999999999982
414,5,0.058,0.014,5451.999999999982
29,7,0.068,0.01,5438.999999999978
993,3,0.046000000000000006,0.02,5338.999999999989
1188,3,0.046000000000000006,0.022,5338.999999999989
1187,3,0.044000000000000004,0.022,5338.999999999989
992,3,0.044000000000000004,0.02,5338.999999999989
990,2,0.04,0.02,5300.999999999989
1190,3,0.05,0.022,5266.999999999989
995,3,0.05,0.02,5266.999999999989
1385,3,0.05,0.024,5266.999999999989
1189,3,0.048,0.022,5252.999999999989
1384,2,0.048,0.024,5252.999999999989
994,3,0.048,0.02,5252.999999999989
217,5,0.054,0.012,5246.999999999982
216,5,0.052000000000000005,0.012,5246.999999999982
796,3,0.042,0.018000000000000002,5226.999999999989
1199,4,0.068,0.022,5130.999999999993
1394,3,0.068,0.024,5130.999999999993
1589,3,0.068,0.026000000000000002,5130.999999999993
1784,3,0.068,0.028000000000000004,5130.999999999993
1979,3,0.068,0.03,5130.999999999993
2174,3,0.068,0.032,5130.999999999993
607,4,0.054,0.016,5086.999999999982
412,4,0.054,0.014,5086.999999999982
411,4,0.052000000000000005,0.014,5086.999999999982
606,4,0.052000000000000005,0.016,5086.999999999982
22,6,0.054,0.01,5064.999999999985
21,6,0.052000000000000005,0.01,5064.999999999985
20,5,0.05,0.01,5013.999999999985
797,3,0.044000000000000004,0.018000000000000002,5009.999999999989
798,3,0.046000000000000006,0.018000000000000002,5009.999999999989
795,3,0.04,0.018000000000000002,4971.999999999989
800,3,0.05,0.018000000000000002,4937.999999999989
799,3,0.048,0.018000000000000002,4923.999999999989
806,4,0.062000000000000006,0.018000000000000002,4900.999999999985
23,6,0.056,0.01,4892.999999999996
24,6,0.058,0.01,4892.999999999996
25,6,0.060000000000000005,0.01,4892.999999999996
601,3,0.042,0.016,4746.999999999985
406,3,0.042,0.014,4746.999999999985
215,5,0.05,0.012,4617.999999999985
407,4,0.044000000000000004,0.014,4529.999999999985
408,4,0.046000000000000006,0.014,4529.999999999985
602,3,0.044000000000000004,0.016,4529.999999999985
603,3,0.046000000000000006,0.016,4529.999999999985
600,3,0.04,0.016,4491.999999999985
405,3,0.04,0.014,4491.999999999985
19,5,0.048,0.01,4462.999999999996
605,4,0.05,0.016,4457.999999999985
410,4,0.05,0.014,4457.999999999985
409,4,0.048,0.014,4443.999999999985
604,3,0.048,0.016,4443.999999999985
611,4,0.062000000000000006,0.016,4420.999999999982
221,6,0.062000000000000006,0.012,4420.999999999982
