,RR,TPP,SLP,comparedProfit
157,3,0.048,0.016,475.0000000000182
12,4,0.034,0.01,115.00000000000728
10,3,0.03,0.01,-29.999999999989086
155,3,0.044000000000000004,0.016,-494.99999999999636
150,3,0.034,0.016,-560.0000000000255
11,4,0.032,0.01,-582.9999999999927
56,3,0.03,0.012,-855.0000000000291
153,3,0.04,0.016,-900.0000000000109
149,2,0.032,0.016,-1071.0000000000218
57,3,0.032,0.012,-1100.000000000029
58,3,0.034,0.012,-1247.0000000000182
102,3,0.03,0.014,-1268.0000000000218
154,3,0.042,0.016,-1380.0000000000036
156,3,0.046000000000000006,0.016,-1381.9999999999745
13,4,0.036000000000000004,0.01,-1415.9999999999854
59,4,0.036000000000000004,0.012,-1431.999999999989
54,3,0.026000000000000002,0.012,-1522.0000000000327
9,3,0.028000000000000004,0.01,-1611.0000000000073
103,3,0.032,0.014,-1624.0000000000073
202,3,0.046000000000000006,0.018000000000000002,-1628.999999999989
104,3,0.034,0.014,-1645.0000000000146
151,3,0.036000000000000004,0.016,-1689.0000000000146
245,2,0.04,0.02,-1766.9999999999964
55,3,0.028000000000000004,0.012,-2043.0000000000364
101,3,0.028000000000000004,0.014,-2070.0000000000255
53,2,0.024,0.012,-2088.0000000000327
8,3,0.026000000000000002,0.01,-2195.0000000000255
152,3,0.038,0.016,-2294.000000000011
390,3,0.054,0.026000000000000002,-2294.9999999999927
14,4,0.038,0.01,-2296.999999999989
105,3,0.036000000000000004,0.014,-2306.9999999999964
25,6,0.060000000000000005,0.01,-2366.000000000011
203,3,0.048,0.018000000000000002,-2376.0000000000255
111,4,0.048,0.014,-2480.9999999999964
160,4,0.054,0.016,-2589.0000000000036
65,4,0.048,0.012,-2589.0000000000146
679,3,0.08,0.038,-2637.9999999999964
158,4,0.05,0.016,-2650.999999999989
61,4,0.04,0.012,-2657.9999999999964
159,4,0.052000000000000005,0.016,-2671.0000000000073
26,7,0.062000000000000006,0.01,-2672.000000000018
678,3,0.078,0.038,-2676.999999999989
109,4,0.044000000000000004,0.014,-2786.9999999999927
677,2,0.076,0.038,-2806.999999999989
246,3,0.042,0.02,-2848.999999999978
251,3,0.052000000000000005,0.02,-2900.0
725,2,0.08,0.04,-2939.9999999999964
200,3,0.042,0.018000000000000002,-2948.9999999999964
680,3,0.082,0.038,-2983.9999999999964
681,3,0.08399999999999999,0.038,-2983.9999999999964
682,3,0.086,0.038,-2983.9999999999964
683,3,0.088,0.038,-2983.9999999999964
248,3,0.046000000000000006,0.02,-2985.000000000018
205,3,0.052000000000000005,0.018000000000000002,-3001.0000000000327
183,7,0.09999999999999999,0.016,-3031.0
60,4,0.038,0.012,-3040.9999999999927
7,3,0.024,0.01,-3099.0000000000073
297,3,0.052000000000000005,0.022,-3100.0000000000036
201,3,0.044000000000000004,0.018000000000000002,-3147.9999999999854
294,3,0.046000000000000006,0.022,-3177.0000000000146
587,3,0.08,0.034,-3193.0000000000036
6,3,0.022,0.01,-3243.999999999982
367,5,0.09999999999999999,0.024,-3261.9999999999927
366,5,0.09799999999999999,0.024,-3261.9999999999927
364,4,0.094,0.024,-3261.9999999999927
365,4,0.096,0.024,-3261.9999999999927
586,3,0.078,0.034,-3269.9999999999964
392,3,0.058,0.026000000000000002,-3275.9999999999927
199,3,0.04,0.018000000000000002,-3286.0000000000036
23,6,0.056,0.01,-3326.0000000000036
389,2,0.052000000000000005,0.026000000000000002,-3347.9999999999964
110,4,0.046000000000000006,0.014,-3354.99999999996
15,4,0.04,0.01,-3366.0
391,3,0.056,0.026000000000000002,-3398.9999999999927
585,3,0.076,0.034,-3399.9999999999964
5,2,0.02,0.01,-3411.9999999999927
182,7,0.09799999999999999,0.016,-3420.0000000000036
19,5,0.048,0.01,-3448.000000000011
729,3,0.088,0.04,-3460.9999999999927
730,3,0.09,0.04,-3460.9999999999927
728,3,0.086,0.04,-3460.9999999999927
727,3,0.08399999999999999,0.04,-3494.9999999999964
114,4,0.054,0.014,-3510.000000000011
298,3,0.054,0.022,-3532.000000000011
633,3,0.08,0.036000000000000004,-3550.9999999999964
250,3,0.05,0.02,-3556.000000000011
588,3,0.082,0.034,-3562.0
589,3,0.08399999999999999,0.034,-3562.0
590,3,0.086,0.034,-3562.0
545,3,0.088,0.032,-3562.0
591,3,0.088,0.034,-3562.0
542,3,0.082,0.032,-3562.0
543,3,0.08399999999999999,0.032,-3562.0
544,3,0.086,0.032,-3562.0
538,3,0.074,0.032,-3573.9999999999964
197,2,0.036000000000000004,0.018000000000000002,-3586.0000000000146
24,6,0.058,0.01,-3638.0000000000146
501,4,0.092,0.03,-3698.0
685,3,0.092,0.038,-3698.9999999999964
497,3,0.08399999999999999,0.03,-3709.0
536,3,0.06999999999999999,0.032,-3720.0000000000036
68,5,0.054,0.012,-3720.0000000000255
64,4,0.046000000000000006,0.012,-3723.999999999978
296,3,0.05,0.022,-3733.0000000000146
584,3,0.074,0.034,-3742.0
198,3,0.038,0.018000000000000002,-3753.0
541,3,0.08,0.032,-3758.0000000000073
295,3,0.048,0.022,-3775.000000000011
252,3,0.054,0.02,-3788.000000000011
726,3,0.082,0.04,-3824.9999999999927
247,3,0.044000000000000004,0.02,-3835.0
249,3,0.048,0.02,-3852.0000000000073
637,3,0.088,0.036000000000000004,-3856.9999999999927
634,3,0.082,0.036000000000000004,-3856.9999999999927
